,facility_id,utility_type,usage,unit,billing_days,cost,year,month,hdd,cdd,date
0,FixtureFacility1,NaturalGas,116.34,Gj,,2030.45,2015,1,1012.4,0.0,2015-01-01
1,FixtureFacility1,NaturalGas,107.61,Gj,,1846.47,2015,2,1021.3,0.0,2015-02-01
2,FixtureFacility1,NaturalGas,107.95,Gj,,1885.94,2015,3,807.3,0.0,2015-03-01
3,FixtureFacility1,NaturalGas,72.66,Gj,,1312.0,2015,4,443.3,0.0,2015-04-01
4,FixtureFacility1,NaturalGas,14.4,Gj,,308.09,2015,5,129.6,11.3,2015-05-01
5,FixtureFacility1,NaturalGas,6.83,Gj,,168.05,2015,6,86.0,9.1,2015-06-01
6,FixtureFacility1,NaturalGas,3.77,Gj,,114.1,2015,7,8.1,53.7,2015-07-01
7,FixtureFacility1,NaturalGas,3.69,Gj,,112.64,2015,8,14.2,63.5,2015-08-01
8,FixtureFacility1,NaturalGas,2.95,Gj,,93.69,2015,9,82.6,34.5,2015-09-01
9,FixtureFacility1,NaturalGas,10.82,Gj,,246.94,2015,10,402.3,0.0,2015-10-01
10,FixtureFacility1,NaturalGas,26.93,Gj,,557.75,2015,11,474.7,0.0,2015-11-01
11,FixtureFacility1,NaturalGas,49.61,Gj,,937.37,2015,12,581.9,0.0,2015-12-01
12,FixtureFacility1,NaturalGas,108.92,Gj,,2011.59,2016,1,845.1,0.0,2016-01-01
13,FixtureFacility1,NaturalGas,102.09,Gj,,1884.45,2016,2,761.6,0.0,2016-02-01
14,FixtureFacility1,NaturalGas,90.42,Gj,,1683.96,2016,3,684.9,0.0,2016-03-01
15,FixtureFacility1,NaturalGas,74.41,Gj,,1414.89,2016,4,497.9,0.0,2016-04-01
16,FixtureFacility1,NaturalGas,33.27,Gj,,691.72,2016,5,170.7,8.2,2016-05-01
17,FixtureFacility1,NaturalGas,12.53,Gj,,287.05,2016,6,56.8,31.4,2016-06-01
18,FixtureFacility1,NaturalGas,0.15,Gj,,40.18,2016,7,17.9,58.8,2016-07-01
19,FixtureFacility1,NaturalGas,0.0,Gj,,33.62,2016,8,10.0,67.7,2016-08-01
20,FixtureFacility1,NaturalGas,0.0,Gj,,40.82,2016,9,116.1,11.6,2016-09-01
21,FixtureFacility1,NaturalGas,3.51,Gj,,107.33,2016,10,332.6,0.0,2016-10-01
22,FixtureFacility1,NaturalGas,29.54,Gj,,567.9,2016,11,455.4,0.0,2016-11-01
23,FixtureFacility1,NaturalGas,49.94,Gj,,893.26,2016,12,763.1,0.0,2016-12-01
24,FixtureFacility1,NaturalGas,85.64,Gj,,1471.59,2017,1,798.4,0.0,2017-01-01
25,FixtureFacility1,NaturalGas,71.65,Gj,,1221.95,2017,2,695.4,0.0,2017-02-01
26,FixtureFacility1,NaturalGas,65.01,Gj,,1113.78,2017,3,775.1,0.0,2017-03-01
27,FixtureFacility1,NaturalGas,45.36,Gj,,815.38,2017,4,385.0,0.0,2017-04-01
28,FixtureFacility1,NaturalGas,13.47,Gj,,278.38,2017,5,194.5,4.6,2017-05-01
29,FixtureFacility1,NaturalGas,0.37,Gj,,46.75,2017,6,69.5,30.9,2017-06-01
30,FixtureFacility1,NaturalGas,0.0,Gj,,36.39,2017,7,16.1,36.7,2017-07-01
31,FixtureFacility1,NaturalGas,0.04,Gj,,38.29,2017,8,52.3,33.2,2017-08-01
32,FixtureFacility1,NaturalGas,0.0,Gj,,38.82,2017,9,82.6,28.4,2017-09-01
33,FixtureFacility1,NaturalGas,0.34,Gj,,44.77,2017,10,229.0,0.2,2017-10-01
34,FixtureFacility1,NaturalGas,16.11,Gj,,306.15,2017,11,579.5,0.0,2017-11-01
35,FixtureFacility1,NaturalGas,86.83,Gj,,1420.65,2017,12,923.2,0.0,2017-12-01
36,FixtureFacility1,NaturalGas,151.14,Gj,,2379.3,2018,1,976.4,0.0,2018-01-01
37,FixtureFacility1,NaturalGas,93.77,Gj,,1511.29,2018,2,710.1,0.0,2018-02-01
38,FixtureFacility1,NaturalGas,48.19,Gj,,821.18,2018,3,621.3,0.0,2018-03-01
39,FixtureFacility1,NaturalGas,52.03,Gj,,890.14,2018,4,501.4,0.0,2018-04-01
40,FixtureFacility1,NaturalGas,9.85,Gj,,189.33,2018,5,176.4,8.3,2018-05-01
41,FixtureFacility1,NaturalGas,0.48,Gj,,27.13,2018,6,73.2,24.0,2018-06-01
42,FixtureFacility1,NaturalGas,0.04,Gj,,20.54,2018,7,8.7,116.1,2018-07-01
43,FixtureFacility1,NaturalGas,0.0,Gj,,18.04,2018,8,14.7,85.2,2018-08-01
44,FixtureFacility1,NaturalGas,0.04,Gj,,21.79,2018,9,128.8,23.1,2018-09-01
45,FixtureFacility1,NaturalGas,5.52,Gj,,114.72,2018,10,389.8,0.0,2018-10-01
46,FixtureFacility1,NaturalGas,31.15,Gj,,576.63,2018,11,607.7,0.0,2018-11-01
47,FixtureFacility1,NaturalGas,75.91,Gj,,1243.07,2018,12,855.9,0.0,2018-12-01
48,FixtureFacility1,NaturalGas,97.09,Gj,,1538.78,2019,1,980.4,0.0,2019-01-01
49,FixtureFacility1,NaturalGas,133.61,Gj,,2051.2,2019,2,839.9,0.0,2019-02-01
50,FixtureFacility1,NaturalGas,61.47,Gj,,994.29,2019,3,749.7,0.0,2019-03-01
51,FixtureFacility1,NaturalGas,49.39,Gj,,838.1,2019,4,462.3,0.0,2019-04-01
52,FixtureFacility1,NaturalGas,17.12,Gj,,334.54,2019,5,237.3,0.0,2019-05-01
53,FixtureFacility1,NaturalGas,1.45,Gj,,68.79,2019,6,88.0,16.1,2019-06-01
54,FixtureFacility1,NaturalGas,0.04,Gj,,39.3,2019,7,8.4,86.3,2019-07-01
55,FixtureFacility1,NaturalGas,0.04,Gj,,36.73,2019,8,25.7,30.1,2019-08-01
56,FixtureFacility1,NaturalGas,0.19,Gj,,45.75,2019,9,153.1,3.0,2019-09-01
57,FixtureFacility1,NaturalGas,5.93,Gj,,140.51,2019,10,327.9,0.0,2019-10-01
58,FixtureFacility1,NaturalGas,34.05,Gj,,635.87,2019,11,625.0,0.0,2019-11-01
59,FixtureFacility1,NaturalGas,84.3,Gj,,1301.64,2019,12,765.3,0.0,2019-12-01
60,FixtureFacility1,NaturalGas,120.7,Gj,,1750.73,2020,1,835.3,0.0,2020-01-01
61,FixtureFacility1,NaturalGas,108.99,Gj,,1582.35,2020,2,796.1,0.0,2020-02-01
62,FixtureFacility1,NaturalGas,66.02,Gj,,980.67,2020,3,639.4,0.0,2020-03-01
63,FixtureFacility1,NaturalGas,56.7,Gj,,891.09,2020,4,444.9,0.0,2020-04-01
64,FixtureFacility1,NaturalGas,36.07,Gj,,589.76,2020,5,220.7,30.1,2020-05-01
65,FixtureFacility1,NaturalGas,4.33,Gj,,101.28,2020,6,62.5,55.2,2020-06-01
66,FixtureFacility1,NaturalGas,0.04,Gj,,38.61,2020,7,0.4,117.6,2020-07-01
67,FixtureFacility1,NaturalGas,0.04,Gj,,38.61,2020,8,41.6,44.9,2020-08-01
68,FixtureFacility1,NaturalGas,1.01,Gj,,49.1,2020,9,173.8,1.9,2020-09-01
69,FixtureFacility1,NaturalGas,9.1,Gj,,175.91,2020,10,376.3,0.0,2020-10-01
70,FixtureFacility1,NaturalGas,28.8,Gj,,479.98,2020,11,492.8,0.0,2020-11-01
71,FixtureFacility1,NaturalGas,68.59,Gj,,1031.12,2020,12,690.0,0.0,2020-12-01
72,FixtureFacility1,NaturalGas,142.67,Gj,,2043.55,2021,1,815.0,0.0,2021-01-01
73,FixtureFacility1,NaturalGas,132.94,Gj,,1681.2,2021,2,795.9,0.0,2021-02-01
74,FixtureFacility1,NaturalGas,100.0,Gj,,1280.76,2021,3,641.9,0.0,2021-03-01
75,FixtureFacility1,NaturalGas,43.79,Gj,,633.04,2021,4,326.3,0.0,2021-04-01
76,FixtureFacility1,NaturalGas,33.87,Gj,,486.42,2021,5,200.3,15.2,2021-05-01
77,FixtureFacility1,NaturalGas,0.04,Gj,,36.87,2021,6,31.0,65.3,2021-06-01
78,FixtureFacility1,NaturalGas,0.04,Gj,,31.2,2021,7,33.9,40.2,2021-07-01
79,FixtureFacility1,NaturalGas,0.0,Gj,,30.7,2021,8,10.3,123.7,2021-08-01
80,FixtureFacility1,NaturalGas,0.07,,,34.77,2021,9,94.7,4.4,2021-09-01
81,FixtureFacility1,NaturalGas,3.28,,,83.07,2021,10,248.2,0.0,2021-10-01
